rxn,ecoli_malt,ecoli_stationary,pf_acetate,pf_4HB,pf_stationary
EX_4abzglu-e_e0,-8.920000000000108e-05,0,0.0,0.0,0
EX_cpd00007_e0,-2.23e-05,0,0.0,0.0,0
EX_cpd00009_e0,2.0990154059319366e-15,0,0.15471286409043297,0.0,0
EX_cpd00011_e0,0.362131750000017,0,0.0,0.0,0
EX_cpd00020_e0,1.3039295956521675,0,0.0,0.0,0
EX_cpd00029_e0,0.019817599999999224,0,-1.0,-1.0,0
EX_cpd00030_e0,-6.580000000000052e-05,0,0.0,0.0,0
EX_cpd00034_e0,-3.240000000000025e-05,0,0.0,0.0,0
EX_cpd00036_e0,0.14388259999999525,0,0.3086754216411852,1.1015541299275466,0
EX_cpd00037_e0,-0.0164906,0,0.0,0.0,0
EX_cpd00039_e0,-2.8449465006019636e-16,0,0.0,0.0,0
EX_cpd00042_e0,-0.04014569999999997,0,0.0,0.0,0
EX_cpd00047_e0,0.0019346000000006608,0,0.0,0.0,0
EX_cpd00048_e0,-0.00041260000000000325,0,0.0,0.0,0
EX_cpd00051_e0,-0.028742,0,0.0,0.0,0
EX_cpd00058_e0,-6.740000000000053e-05,0,0.0,0.0,0
EX_cpd00063_e0,-0.0004952000000000039,0,0.0,0.0,0
EX_cpd00065_e0,-0.0055234,0,0.0,0.0,0
EX_cpd00067_e0,2.979691417391297,0,0.0,0.0,0
EX_cpd00080_e0,0.0,0,-1.2276810158975877,-1.0118577542967697,0
EX_cpd00084_e0,0.0,0,-0.2593896417006494,-0.2446162263968426,0
EX_cpd00099_e0,-0.0004952000000000039,0,0.0,0.0,0
EX_cpd00104_e0,-2.0000000000000155e-07,0,0.0,0.0,0
EX_cpd00119_e0,-0.009205600000000072,0,-1.4387232249999984,-1.4387232249999984,0
EX_cpd00126_e0,-0.02360919999999997,0,0.0,0.0,0
EX_cpd00136_e0,0.0,0,0.0,-1.0,0
EX_cpd00149_e0,-2.400000000000019e-06,0,0.0,0.0,0
EX_cpd00151_e0,-2.3738586006554517e-16,0,0.0,0.0,0
EX_cpd00157_e0,1.563220894565204,0,0.0,0.0,0
EX_cpd00166_e0,-2.2300000000000176e-05,0,0.0,0.0,0
EX_cpd00179_e0,-1.0,0,-0.08156387847222249,-0.08156387847222249,0
EX_cpd00205_e0,-0.018569000000000144,0,0.0,0.0,0
EX_cpd00221_e0,1.50336602173914,0,0.0,0.0,0
EX_cpd00227_e0,0.0,0,0.7794971245089379,0.4824854902569258,0
EX_cpd00239_e0,0.01610349999999982,0,0.0,0.0,0
EX_cpd00244_e0,-3.070000000000024e-05,0,0.0,0.0,0
EX_cpd00254_e0,-0.0008253000000000065,0,0.0,0.0,0
EX_cpd00264_e0,-0.0006744000000000052,0,0.0,0.0,0
EX_cpd00294_e0,-0.0024805,0,0.0,0.0,0
EX_cpd00305_e0,-2.2300000000000176e-05,0,0.0,0.0,0
EX_cpd00309_e0,0.0,0,-0.003920908333338524,-0.003920908333338524,0
EX_cpd00355_e0,-0.00022790000000002392,0,-0.0842516378167848,-0.07945312532672122,0
EX_cpd00359_e0,-4.2500725161431774e-17,0,0.0,0.0,0
EX_cpd00367_e0,-0.0017680000000009422,0,0.0,0.0,0
EX_cpd00391_e0,8.92000000000011e-05,0,0.0,0.0,0
EX_cpd00419_e0,1.6280905873863826e-15,0,0.0,0.0,0
EX_cpd00587_e0,0.0,0,-0.012267861253091934,-0.011569150973093297,0
EX_cpd00703_e0,0.0,0,0.0,0.4993344134755877,0
EX_cpd00988_e0,-0.01783009999999985,0,0.0,0.0,0
EX_cpd01092_e0,-0.06951860000000007,0,0.0,0.0,0
EX_cpd01329_e0,-0.13820294456521723,0,0.0,0.0,0
EX_cpd01861_e0,0.4810418728260912,0,0.0,0.0,0
EX_cpd03454_e0,-0.01377379999999907,0,0.0,0.0,0
EX_cpd03725_e0,-0.0015304000000000001,0,0.0,0.0,0
EX_cpd03726_e0,-2.2300000000000176e-05,0,0.0,0.0,0
EX_cpd10515_e0,-1.1872013788716274e-17,0,0.0,0.0,0
EX_cpd11574_e0,-2.1000000000000163e-06,0,0.0,0.0,0
EX_cpd15387_e0,-0.0361025,0,0.0,0.0,0
EX_cpd15432_e0,-0.0008151000000000064,0,0.0,0.0,0
EX_r1400_e0,0.0,0,-4.20132234694917e-05,-3.962038004483767e-05,0
EX_r293_e0,0.0,0,-4.2013223469491676e-05,-3.962038004483871e-05,0
bio,0.10000000000000078,0,0.08402644693898587,0.07924076008968015,0
