Plate	Well	Cycle	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166
1	B2	Time (s)	0	596.643	1188.518	1780.991	2373.491	2966.009	3558.339	4150.759	4743.17	5335.607	5928.062	6520.5	7112.982	7705.428	8297.92	8890.411	9482.893	10075.348	10667.795	11260.277	11852.723	12445.196	13037.616	13630.116	14222.562	14815.027	15407.482	15999.884	16592.384	17184.83	17777.312	18369.777	18962.25	19554.75	20147.25	20739.687	21332.178	21924.616	22517.098	23109.598	23702.009	24294.509	24886.955	25479.428	26071.893	26664.384	27256.821	27849.268	28441.696	29034.178	29626.652	30219.125	30811.536	31403.964	31996.384	32588.866	33181.286	33773.696	34366.116	34958.607	35551.018	36143.536	36735.991	37328.446	37920.857	38513.366	39105.795	39698.268	40290.732	40883.223	41475.616	42068.107	42660.562	43253.062	43845.518	44437.928	45030.455	45622.893	46215.339	46807.768	47400.223	47992.625	48585.098	49177.5	49769.946	50362.366	50954.821	51547.196	52139.67	52732.071	53324.473	53916.937	54509.357	55101.768	55694.25	56286.652	56879.982	57471.536	58064.777	58656.437	59249.67	59841.357	60434.607	61026.303	61619.464	62211.17	62805.214	63396.036	63989.205	64580.928	65173.893	65765.839	66358.661	66951.562	67543.25	68136	68728.83	69320.625	69913.571	70505.482	71098.178	71691.018	72282.839	72875.553	73468.348	74060.268	74652.955	75245.786	75837.643	76430.402	77023.17	77615.857	78207.571	78800.321	79392.562	79985.312	80577.955	81170.643	81763.295	82354.973	82947.759	83540.241	84132.75	84725.277	85317.83	85910.402	86502.67	87095.259	87687.875	88281.223	88872.946	89465.616	90058.687	90651.437	91243.411	91836.259	92428.607	93021.277	93613.812	94206.402	94798.946	95392	95985.062	96576.893	97169.518	97762.045
1	B2	Result	23472	22608	22663	22547	22284	22194	22015	21854	21309	21627	21533	21267	21262	20860	20944	20858	20464	20664	20253	20487	20043	19624	19751	19427	19199	19166	19427	25814	25439	26390	18713	34380	29030	27128	18080	18023	18090	25652	17933	17842	18574	24335	17252	18230	17335	17363	16942	16750	16949	17279	18652	19149	17240	17874	19161	18712	18872	18060	17243	18323	15645	20838	19891	19084	19716	18680	18791	17581	18178	16827	17329	18248	16460	17922	14859	17736	13425	17815	14960	13824	13748	13419	13840	13804	13337	13433	13614	13232	13264	13123	13257	13269	13334	13231	13180	13004	13124	12816	12948	12932	13064	12717	13035	12915	13051	12858	12717	12953	12744	12952	13224	12893	12841	12730	12505	12742	12597	12927	12725	12793	12310	12460	12544	12535	12548	12322	12304	12357	12317	12394	12297	12202	12326	12238	12394	12179	12095	12154	12146	12250	12089	11831	12372	11905	12036	12132	12093	12016	11696	11783	11811	11858	11800	11688	11836	11891	11873	11748	11546	11431	11411	11300	11402	11025	11406	11636
1	B3	Time (s)	0.205	596.857	1188.732	1781.205	2373.696	2966.214	3558.553	4150.973	4743.375	5335.812	5928.277	6520.705	7113.187	7705.643	8298.125	8890.625	9483.107	10075.553	10668.009	11260.491	11852.937	12445.402	13037.83	13630.33	14222.768	14815.241	15407.687	16000.089	16592.589	17185.045	17777.518	18369.991	18962.455	19554.964	20147.464	20739.902	21332.393	21924.83	22517.303	23109.812	23702.223	24294.723	24887.17	25479.643	26072.098	26664.598	27257.027	27849.482	28441.902	29034.384	29626.866	30219.33	30811.741	31404.178	31996.589	32589.071	33181.5	33773.902	34366.321	34958.812	35551.232	36143.741	36736.205	37328.661	37921.071	38513.58	39106.009	39698.482	40290.937	40883.428	41475.821	42068.321	42660.768	43253.268	43845.723	44438.143	45030.67	45623.098	46215.545	46807.982	47400.437	47992.839	48585.303	49177.705	49770.152	50362.58	50955.027	51547.402	52139.884	52732.277	53324.687	53917.152	54509.571	55101.982	55694.455	56286.857	56880.187	57471.741	58064.991	58656.652	59249.884	59841.562	60434.821	61026.509	61619.678	62211.384	62805.428	63396.25	63989.411	64581.143	65174.107	65766.053	66358.866	66951.768	67543.464	68136.214	68729.036	69320.839	69913.777	70505.687	71098.384	71691.232	72283.045	72875.768	73468.562	74060.473	74653.161	75245.991	75837.857	76430.616	77023.375	77616.062	78207.777	78800.527	79392.777	79985.518	80578.161	81170.848	81763.5	82355.187	82947.964	83540.446	84132.964	84725.482	85318.036	85910.616	86502.884	87095.473	87688.08	88281.437	88873.152	89465.83	90058.893	90651.643	91243.616	91836.464	92428.812	93021.491	93614.018	94206.616	94799.152	95392.214	95985.277	96577.107	97169.732	97762.259
1	B3	Result	24361	24350	24169	23807	23795	23344	23450	23435	23280	22880	22629	22179	22337	22001	22072	22103	21414	21693	21348	21014	21222	20785	20817	20709	20471	20381	20110	20259	20029	19944	19761	19639	19237	19452	19177	19251	18966	19061	18616	18790	18676	18502	18307	18283	18275	18188	18179	17783	17754	17651	17603	17819	17794	17339	17270	17404	17324	17124	16542	16289	15257	15407	15283	15216	15172	14983	15082	18685	15856	15775	15763	20222	18635	17319	18948	18530	18494	18767	18851	17668	17223	18088	17906	17480	17473	17518	17591	17272	17278	16743	16632	16991	16769	16743	16691	16368	16366	16066	15534	15801	15932	15985	15780	15264	16509	15687	15978	16056	16017	15703	15507	16041	15176	15813	15545	15560	15802	15736	16113	15946	16244	16201	16268	16131	16205	16493	16700	16278	16568	16647	16879	16916	16876	17082	17274	17460	17600	17628	17822	17982	17949	18085	18231	18363	18733	18954	19159	19142	19370	19483	19863	19887	20480	20683	20804	21165	21471	21637	22295	22339	22734	22740	23219	23597	24090	24697
1	B4	Time (s)	0.42	597.062	1188.937	1781.411	2373.911	2966.428	3558.759	4151.178	4743.589	5336.027	5928.482	6520.92	7113.402	7705.848	8298.339	8890.83	9483.312	10075.768	10668.214	11260.696	11853.143	12445.616	13038.036	13630.536	14222.982	14815.446	15407.902	16000.303	16592.803	17185.25	17777.732	18370.196	18962.67	19555.17	20147.67	20740.107	21332.598	21925.036	22517.518	23110.018	23702.428	24294.928	24887.375	25479.848	26072.312	26664.803	27257.232	27849.687	28442.116	29034.598	29627.071	30219.545	30811.955	31404.384	31996.795	32589.286	33181.705	33774.116	34366.536	34959.027	35551.437	36143.955	36736.411	37328.866	37921.277	38513.786	39106.214	39698.687	40291.152	40883.643	41476.036	42068.527	42660.982	43253.482	43845.937	44438.348	45030.875	45623.312	46215.759	46808.187	47400.643	47993.045	48585.518	49177.92	49770.366	50362.786	50955.241	51547.616	52140.089	52732.491	53324.893	53917.357	54509.777	55102.187	55694.67	56287.071	56880.402	57471.955	58065.196	58656.857	59250.089	59841.777	60435.027	61026.723	61619.884	62211.589	62805.634	63396.455	63989.625	64581.348	65174.312	65766.259	66359.08	66951.982	67543.67	68136.42	68729.25	69321.045	69913.991	70505.902	71098.598	71691.437	72283.259	72875.973	73468.768	74060.687	74653.375	75246.205	75838.053	76430.812	77023.571	77616.268	78207.973	78800.732	79392.973	79985.714	80578.357	81171.045	81763.705	82355.384	82948.17	83540.643	84133.161	84725.678	85318.232	85910.812	86503.08	87095.67	87688.277	88281.634	88873.348	89466.027	90059.089	90651.839	91243.812	91836.661	92429.009	93021.687	93614.214	94206.812	94799.348	95392.411	95985.473	96577.303	97169.928	97762.455
1	B4	Result	23932	23739	23757	23516	23090	22834	22585	22862	22688	22415	22539	22183	22059	21800	21619	21634	21297	21148	21196	21088	20943	20549	20748	20587	20437	20194	20590	24376	23025	21657	19168	19140	19239	19055	19098	18927	18988	18900	18296	18679	18532	18402	18034	17980	17698	17918	17977	17635	17746	17933	17390	24016	18688	17585	17384	17013	29190	16985	25908	16998	17304	17922	20572	15430	17448	22438	19382	22966	22049	20560	22113	18436	21003	20014	18817	19472	20618	19687	19442	18347	18668	18898	19155	18856	19328	19018	19409	18382	18296	18817	18953	18471	18496	18601	18732	18607	17885	18427	19230	19129	19443	19988	19626	19042	19804	19898	20157	20376	21291	21309	21215	21464	21741	22116	22550	23164	23419	23777	24375	24947	25286	26013	26944	27474	27465	28375	29547	29499	31385	31947	32505	32947	34402	35225	35498	36347	38027	38775	40238	41047	41550	44183	45950	46799	47602	47818	50645	51147	51733	52793	56180	57609	59248	62564	63569	64823	68391	70609	72473	74761	75778	77108	77162	76780	78680	79026
1	B5	Time (s)	0.625	597.277	1189.152	1781.625	2374.116	2966.634	3558.973	4151.393	4743.795	5336.232	5928.696	6521.125	7113.607	7706.062	8298.545	8891.045	9483.527	10075.973	10668.428	11260.902	11853.348	12445.821	13038.25	13630.75	14223.187	14815.661	15408.107	16000.509	16593.009	17185.455	17777.937	18370.411	18962.875	19555.384	20147.875	20740.321	21332.803	21925.25	22517.723	23110.232	23702.643	24295.143	24887.589	25480.062	26072.518	26665.018	27257.446	27849.902	28442.321	29034.803	29627.286	30219.75	30812.161	31404.598	31997.009	32589.491	33181.92	33774.321	34366.741	34959.232	35551.652	36144.161	36736.625	37329.08	37921.491	38514	39106.428	39698.902	40291.357	40883.848	41476.241	42068.741	42661.187	43253.687	43846.143	44438.562	45031.089	45623.518	46215.964	46808.402	47400.857	47993.259	48585.723	49178.125	49770.571	50363	50955.446	51547.821	52140.303	52732.696	53325.107	53917.571	54509.991	55102.402	55694.875	56287.277	56880.607	57472.161	58065.411	58657.071	59250.295	59841.982	60435.232	61026.928	61620.098	62211.803	62805.83	63396.67	63989.83	64581.545	65174.509	65766.455	66359.277	66952.178	67543.866	68136.616	68729.446	69321.241	69914.187	70506.098	71098.795	71691.634	72283.455	72876.17	73468.964	74060.884	74653.571	75246.402	75838.25	76431.009	77023.768	77616.464	78208.17	78800.928	79393.17	79985.911	80578.553	81171.241	81763.902	82355.58	82948.366	83540.839	84133.357	84725.875	85318.428	85911.009	86503.277	87095.866	87688.482	88281.83	88873.553	89466.223	90059.286	90652.036	91244.009	91836.857	92429.205	93021.884	93614.411	94207.009	94799.545	95392.607	95985.67	96577.5	97170.125	97762.652
1	B5	Result	22506	22901	22250	22252	21821	22275	21742	21604	21336	20968	21034	21706	21494	21978	21607	21815	21014	20857	20885	20789	20748	20335	20594	20373	20665	20163	20171	20065	19959	19839	19983	19923	19754	19541	19140	19102	18955	18677	18902	18773	18869	18912	18826	18665	18917	18817	18760	18905	18698	18731	18721	18959	18633	18536	18646	18971	18677	18665	18081	18102	17286	17555	17485	17631	17310	17358	17558	17567	17502	17800	18086	18106	18223	18215	18313	18415	20715	18609	18721	20077	21372	21360	19641	19911	20750	21941	20240	20612	21238	21282	21559	21784	22144	22630	23137	23103	23975	24381	24788	25441	26011	26518	26866	27499	28252	28600	30551	29657	30524	31914	33188	33172	34224	34691	36351	37657	37676	38412	39934	38862	41060	42373	42505	42966	45229	47520	48132	48900	49322	52317	54984	55096	57103	60084	60807	63134	65923	68886	72311	71751	75228	77218	76355	77032	78319	79702	78765	80908	79418	78852	79071	78794	78940	80072	80111	81194	80646	80752	80171	85197	84804	83382	83552	84095	84850	84704
1	B6	Time (s)	0.839	597.482	1189.357	1781.83	2374.33	2966.848	3559.178	4151.598	4744.009	5336.446	5928.902	6521.339	7113.812	7706.268	8298.759	8891.25	9483.732	10076.187	10668.634	11261.116	11853.562	12446.027	13038.455	13630.955	14223.402	14815.866	15408.321	16000.714	16593.214	17185.67	17778.152	18370.616	18963.089	19555.589	20148.089	20740.527	21333.018	21925.455	22517.937	23110.437	23702.848	24295.348	24887.795	25480.268	26072.732	26665.223	27257.652	27850.107	28442.536	29035.018	29627.491	30219.964	30812.375	31404.803	31997.214	32589.705	33182.125	33774.536	34366.955	34959.446	35551.857	36144.375	36736.83	37329.286	37921.696	38514.205	39106.634	39699.107	40291.571	40884.062	41476.455	42068.946	42661.402	43253.902	43846.357	44438.768	45031.295	45623.732	46216.178	46808.607	47401.062	47993.464	48585.937	49178.339	49770.786	50363.205	50955.643	51548.036	52140.509	52732.902	53325.312	53917.768	54510.187	55102.598	55695.071	56287.473	56880.803	57472.357	58065.607	58657.268	59250.5	59842.178	60435.437	61027.125	61620.295	62212	62806.027	63396.866	63990.027	64581.741	65174.714	65766.652	66359.473	66952.375	67544.062	68136.812	68729.643	69321.437	69914.384	70506.295	71098.991	71691.839	72283.652	72876.366	73469.161	74061.08	74653.768	75246.598	75838.446	76431.205	77023.964	77616.661	78208.366	78801.125	79393.366	79986.107	80578.75	81171.437	81764.098	82355.777	82948.562	83541.036	84133.553	84726.071	85318.634	85911.205	86503.473	87096.062	87688.678	88282.027	88873.75	89466.42	90059.482	90652.241	91244.205	91837.062	92429.411	93022.08	93614.607	94207.205	94799.741	95392.803	95985.866	96577.696	97170.321	97762.848
1	B6	Result	17908	17826	17766	17563	17424	17461	16973	17113	17006	16981	16816	16782	16580	16655	16471	16507	16342	16233	16358	16166	15880	15867	15740	15588	15551	15482	15759	15215	15362	15198	15194	15085	15068	14940	15012	14987	15092	14758	15003	14958	14922	14997	14993	14929	14969	15324	15143	15371	15254	15560	15262	15680	15802	15788	15721	16202	16352	16272	16199	16550	16153	16215	17051	16389	16724	17612	22209	17974	20865	21917	18434	22282	19053	19582	19919	20559	21510	22867	23281	23577	24378	25218	25513	25609	26683	28313	30251	30062	30209	31194	31373	33127	34431	35057	35959	37334	37618	41597	40969	42066	43696	46788	45302	46726	49115	50145	50774	53492	55848	56389	57055	60840	63449	62421	64944	69857	71852	75414	75342	76490	77609	76818	77315	77691	78415	78367	79931	78637	79394	77630	79171	79197	78705	79970	79479	80715	78764	78873	77848	78883	78406	79497	80533	81256	80213	79927	79902	79795	80167	80300	79876	83730	82880	81501	83435	84200	81586	82118	85116	83795	82234	86158	85154	81958	84590	85781
