ID	WT_20nM/5µM	pdxBJ_20nM/5µM	pdxBJ/WT_20nM	pdxBJ/WT_5µM
glc__D_c	0.795730408	-3.449055056	-5.163765311	-0.918979847
2dh3dgal_c	-0.944348822	-4.21094111	-3.582946155	-0.316353866
S2hglut_c	-1.206266801	-2.922456989	-3.013261672	-1.297071484
glcn_c	-0.449298246	-3.559601874	-2.997364103	0.112939525
3c3hmp_c	-0.620799575	-3.244827696	-2.271694799	0.352333321
cbasp_c	-0.313610937	-4.01499977	-1.986159623	1.715229211
spmd_c	-0.136121549	-1.902769524	-1.845185223	-0.078537248
fum_c	0.034619197	-2.152847566	-1.780768004	0.40669876
ptrc_c	-0.180755231	-1.622291341	-1.665089264	-0.223553154
isomal_c	-0.203117547	-2.174759207	-1.63993425	0.33170741
rib__D_c	0.059809395	-1.589237059	-1.323848318	0.325198136
hom__L_c	0.068312234	-1.339323528	-1.201970352	0.20566541
4hbz_c	-0.274874961	-1.521414806	-1.192539243	0.054000603
xyl__D_c	-0.619913505	-1.603560726	-1.182912676	-0.199265455
fru_c	-0.142674309	-1.104778666	-1.101984774	-0.139880418
g1p_c	-0.612639457	-1.708743915	-1.094173301	0.001931157
orot_c	-0.875683938	-3.057216212	-0.903849613	1.277682661
glyclt_c	-0.418597991	-0.895142686	-0.847377059	-0.370832364
gua_c	-0.357589005	-1.808539595	-0.714221814	0.736728776
2dh3dgal6p_c	1.724499678	0.279367633	-0.666325717	0.778806328
ocdca_c	0.159457247	-0.535875878	-0.479471998	0.215861127
dca_c	0.272263045	-1.081728591	-0.460516216	0.89347542
hdcea_c	0.655325928	-0.608715342	-0.441349836	0.822691434
hdca_c	0.18169081	-0.492432507	-0.405508338	0.268614979
malt_c	-0.317549503	-0.995879311	-0.361640216	0.316689591
mal__L_c	0.655505105	0.15960865	-0.264668714	0.231227742
cit_c	-0.387977445	-1.427114644	-0.247113514	0.792023684
amp_c	-0.122155567	-0.43977895	-0.223956438	0.093666945
hcys__L_c	-0.478648551	0.122216063	-0.221034456	-0.82189907
suchms_c	-0.473567547	-1.322712276	-0.15973495	0.689409779
f6p_c	0.48739145	-0.856832472	-0.063360003	1.280863919
sucr_p	-0.606404376	-0.949996112	-0.038791571	0.304800165
2ahbut_c	0.05300513	-0.74928641	-0.006208965	0.796082575
glyc__R_c	-0.880119727	-0.589782259	0.003609137	-0.286728331
phpyr_c	-0.490756092	-0.421695407	0.034688373	-0.034372313
ghb_c	0.432945787	-0.067295713	0.126166371	0.62640787
lys__L_c	-0.072899558	-0.321439692	0.18252381	0.431063943
quin_c	-2.046758463	-0.73629128	0.188157687	-1.122309496
ru5p__D_c	1.071411148	-0.376246691	0.195595901	1.64325374
succ_c	-0.22660704	0.378892657	0.213538323	-0.391961375
lac__D_c	-0.589291598	-1.188561807	0.280069837	0.879340046
g6p_c	0.234930351	-0.480137086	0.281772939	0.996840376
ttdca_c	0.49809466	0.126178538	0.304674472	0.676590594
r5p_c	0.024731792	-0.019386353	0.358716853	0.402834998
all__D_c	-0.122100279	-0.470625754	0.362175199	0.710700674
ile__L_c	-0.10336216	-0.04671285	0.438165191	0.38151588
ade_c	-0.07021366	-0.08798719	0.485490701	0.503264231
pnto__R_c	-0.978794741	0.462224488	0.504213056	-0.936806174
glyc3p_c	0.214080157	0.275970404	0.627891557	0.56600131
5mta_c	0.021539592	0.43989956	0.653345956	0.234985988
tyr__L_c	-0.121267893	0.201308773	0.685680365	0.363103698
gthrd_c	-0.688836298	0.342570896	0.688572993	-0.342834202
ddca_c	0.426092942	0.680826267	0.689665824	0.434932498
pyr_c	0.078529183	-1.086610407	0.725905469	1.891045059
abt__L_c	-0.005077916	-0.115589296	0.737603209	0.84811459
uacgam_c	0.06834279	0.68719361	0.802920866	0.184070046
cgly_c	-0.864263287	0.727477379	0.84677005	-0.744970615
glyc2p_c	0.180427438	0.439141424	0.874833642	0.616119656
met__L_c	-0.112827444	0.660348896	0.916836708	0.143660368
alaala_c	-0.165507979	0.712916037	0.953321296	0.074897279
tre_c	-0.685463234	-0.974633747	0.972883509	1.262054023
csn_c	-0.358300485	1.162703104	1.029931579	-0.491072009
acglu_c	-0.211434984	-2.094166147	1.057844075	2.940575237
26dap__M_c	-0.23026228	0.61216944	1.083749012	0.241317292
hxan_c	-0.114954305	0.132834053	1.086764057	0.838975699
pro__L_c	-0.397079071	0.923050495	1.125443549	-0.194686016
orn_c	-0.041409382	0.666480599	1.170680331	0.46279035
xan_c	-0.349726231	0.286046696	1.19783166	0.562058734
acorn_c	-0.517481457	-1.062581534	1.209796217	1.754896295
etha_c	-0.08161949	0.670987037	1.279511501	0.526904974
thr__L_c	-0.316519401	1.420020701	1.296639848	-0.439900254
ncam_c	-0.06566018	1.331721298	1.312793976	-0.084587502
2amsa_c	0.006638642	0.596714217	1.333920641	0.743845067
gly_c	-0.15513172	0.830618465	1.346051585	0.360301399
dtmp_c	-0.069760321	1.351699464	1.416520211	-0.004939575
ura_c	0.150815339	1.378611869	1.464675665	0.236879135
ala_B_c	0.123652171	1.02103166	1.498188804	0.600809315
adn_c	0.167093751	1.315824454	1.504241215	0.355510512
akg_c	-0.058417561	0.085220648	1.560513224	1.416875016
val__L_c	0.098408849	1.090060892	1.645248443	0.6535964
asp__L_c	0.0051697	0.745802421	1.714927756	0.974295035
trp__L_c	0.010420199	2.229528355	1.815215811	-0.403892345
ala__L_c	1.709100173	0.258297746	1.86272165	3.313524077
phe__L_c	-0.609445423	0.798282203	1.910816191	0.503088565
3pg	0.320079379	1.323744292	1.947710919	0.944046006
4abut_c	-0.272277163	1.890104367	2.013748294	-0.148633237
thym_c	-0.296279421	1.571541355	2.091220145	0.223399368
